X,Y,Surface,Bed,Thk,Surface Velocity,Gflux,Accumulation Rate,Basal Melt
12000.0,94500.0,1437.0,-1169.0,2606.0,2.0943227,91.92058331982862,0.41421630254259734,-0.003376502362880274
12500.0,94500.0,1437.0,-1159.0,2596.0,2.0035224,91.96330429430293,0.41262060266907724,-0.0038831365516671214
13000.0,94500.0,1437.0,-1159.0,2596.0,1.4194484,92.00602526877722,0.4110249027955571,-0.004389770740453969
13500.0,94500.0,1437.0,-1175.0,2612.0,1.8052797,92.04874624325153,0.409429202922037,-0.004896404929240816
14000.0,94500.0,1437.0,-1205.0,2642.0,1.8927151,92.09146721772584,0.40783350304851684,-0.005403039118027663
9500.0,94000.0,1435.0,-1190.0,2625.0,1.6586137,91.80685578482826,0.42187210151626486,-0.0014585425227414816
10000.0,94000.0,1436.0,-1192.0,2628.0,2.138327,91.84969917415795,0.42015550398489787,-0.0018850506837043213
10500.0,94000.0,1436.0,-1192.0,2628.0,2.3264534,91.89254256348764,0.41843890645353105,-0.002584536213762476
11000.0,94000.0,1436.0,-1186.0,2622.0,1.9478742,91.93538595281734,0.41672825736123054,-0.0032840217438206303
11500.0,94000.0,1436.0,-1168.0,2604.0,1.2204676,91.97822934214705,0.41513155967121956,-0.003983507273878785
12000.0,94000.0,1437.0,-1154.0,2591.0,1.478017,92.02107273147675,0.4135348619812085,-0.004682992803936941
12500.0,94000.0,1436.0,-1147.0,2583.0,1.6227357,92.06391612080645,0.41193816429119734,-0.005382478333995096
13000.0,94000.0,1437.0,-1145.0,2582.0,1.5316967,92.10675951013613,0.4103414666011863,-0.006081963864053249
13500.0,94000.0,1437.0,-1166.0,2603.0,1.3039991,92.14960289946585,0.4087447689111752,-0.006781449394111404
14000.0,94000.0,1437.0,-1198.0,2635.0,1.5932345,92.19244628879554,0.40714807122116414,-0.007480934924169559
14500.0,94000.0,1437.0,-1233.0,2670.0,2.214862,92.23528967812524,0.40555137353115306,-0.008180420454227713
15000.0,94000.0,1437.0,-1265.0,2702.0,2.5693698,92.27813306745495,0.4039546758411421,0.010235798802823413
9000.0,93500.0,1434.0,-1196.0,2630.0,2.231792,91.8637673180143,0.4229132489109154,-0.0016778722254093734
9500.0,93500.0,1434.0,-1191.0,2625.0,2.5378265,91.9067331221994,0.4211956526705562,-0.0018752689578104761
10000.0,93500.0,1435.0,-1183.0,2618.0,3.3975012,91.9496989263845,0.41947805643019703,-0.0024201357596757584
10500.0,93500.0,1435.0,-1174.0,2609.0,3.4002883,91.99266473056959,0.4177604601898378,-0.0033124726310052206
11000.0,93500.0,1435.0,-1162.0,2597.0,3.0674672,92.03563053475467,0.4160488124328236,-0.004204809502334683
11500.0,93500.0,1436.0,-1147.0,2583.0,2.986887,92.07859633893978,0.4144511169263216,-0.005097146373664145
12000.0,93500.0,1436.0,-1143.0,2579.0,2.34375,92.12156214312489,0.41285342141981957,-0.005989483244993607
12500.0,93500.0,1436.0,-1141.0,2577.0,2.0740237,92.16452794730998,0.41125572591331755,-0.0068818201163230695
13000.0,93500.0,1436.0,-1134.0,2570.0,2.1812158,92.20749375149508,0.4096580304068156,-0.007774156987652532
13500.0,93500.0,1436.0,-1161.0,2597.0,2.2534993,92.25045955568018,0.40806033490031357,-0.008666493858981994
14000.0,93500.0,1436.0,-1198.0,2634.0,2.1839247,92.29342535986527,0.4064626393938115,-0.009558830730311456
14500.0,93500.0,1436.0,-1234.0,2670.0,2.454015,92.33639116405038,0.4048649438873095,-0.010451167601640918
15000.0,93500.0,1436.0,-1265.0,2701.0,2.761712,92.37935696823546,0.40326724838080746,0.00765924982748402
15500.0,93500.0,1436.0,-1310.0,2746.0,2.5774217,92.42232277242056,0.4016695528743055,0.04477242155706335
16000.0,93500.0,1436.0,-1372.0,2808.0,1.935181,92.46528857660566,0.4000778859673864,0.08188559328664269
9000.0,93000.0,1432.0,-1215.0,2647.0,3.3501225,91.96352224053004,0.4222335699304783,-0.00205073271994479
9500.0,93000.0,1433.0,-1194.0,2627.0,3.4503918,92.00661045957054,0.4205148996546257,-0.002291995392879471
10000.0,93000.0,1434.0,-1176.0,2610.0,4.0739374,92.04969867861104,0.41879622937877314,-0.0029552208356471966
10500.0,93000.0,1434.0,-1161.0,2595.0,3.4941335,92.09278689765152,0.4170775591029206,-0.004040409048247966
11000.0,93000.0,1434.0,-1150.0,2584.0,2.9183311,92.13587511669202,0.41536484482884833,-0.005125597260848736
11500.0,93000.0,1435.0,-1145.0,2580.0,3.1253078,92.1789633357325,0.4137662268323564,-0.006210785473449506
12000.0,93000.0,1435.0,-1148.0,2583.0,2.9493582,92.222051554773,0.41216760883586445,-0.007295973686050275
12500.0,93000.0,1435.0,-1159.0,2594.0,2.5991645,92.26513977381352,0.41056899083937254,-0.008381161898651044
13000.0,93000.0,1435.0,-1152.0,2587.0,2.7735636,92.308227992854,0.40897037284288074,-0.009466350111251815
13500.0,93000.0,1435.0,-1170.0,2605.0,3.115518,92.3513162118945,0.4073717548463889,-0.010551538323852583
14000.0,93000.0,1435.0,-1201.0,2636.0,2.7414968,92.394404430935,0.4057731368498969,-0.011636726536453354
14500.0,93000.0,1435.0,-1235.0,2670.0,2.9854407,92.43749264997548,0.404174518853405,-0.012721914749054122
15000.0,93000.0,1435.0,-1267.0,2702.0,3.4560597,92.48058086901598,0.4025759008569131,0.00508270085214463
15500.0,93000.0,1436.0,-1315.0,2751.0,3.2013261,92.52366908805647,0.4009772828604212,0.04177712026714289
16000.0,93000.0,1436.0,-1381.0,2817.0,2.7720258,92.56675730709698,0.3993848130840221,0.07847153968214116
16500.0,93000.0,1436.0,-1457.0,2893.0,3.1271734,92.60984552613746,0.39793621165779114,0.11516595909713942
8500.0,92500.0,1431.0,-1266.0,2697.0,3.554521,92.01477810876389,0.42322278539672714,-0.002138464601011947
9000.0,92500.0,1432.0,-1226.0,2658.0,4.0912333,92.06327716304575,0.4215021188928918,-0.0024235932144802065
9500.0,92500.0,1432.0,-1193.0,2625.0,4.2943206,92.10648779694166,0.4197814523890565,-0.0027087218279484657
10000.0,92500.0,1433.0,-1168.0,2601.0,4.3929605,92.14969843083757,0.41806078588522116,-0.003490305911618634
10500.0,92500.0,1433.0,-1149.0,2582.0,4.16971,92.19290906473346,0.4163401193813858,-0.004768345465490711
11000.0,92500.0,1434.0,-1137.0,2571.0,3.4521224,92.23611969862934,0.41462550790090336,-0.006046385019362788
11500.0,92500.0,1434.0,-1140.0,2574.0,2.842049,92.27933033252525,0.413026889606911,-0.0073244245732348645
12000.0,92500.0,1434.0,-1155.0,2589.0,2.6368895,92.32254096642114,0.4114282713129187,-0.008602464127106942
12500.0,92500.0,1434.0,-1194.0,2628.0,2.5923827,92.36575160031703,0.4098296530189262,-0.009880503680979019
13000.0,92500.0,1434.0,-1187.0,2621.0,2.9204264,92.40896223421291,0.40823103472493394,-0.011158543234851095
13500.0,92500.0,1435.0,-1182.0,2617.0,3.4971797,92.45217286810882,0.4066324164309416,-0.012436582788723172
14000.0,92500.0,1434.0,-1204.0,2638.0,3.8329835,92.49538350200471,0.4050337981369493,-0.013714622342595247
14500.0,92500.0,1434.0,-1223.0,2657.0,3.8864157,92.53859413590061,0.4034351798429569,-0.014992661896467325
15000.0,92500.0,1435.0,-1260.0,2695.0,3.7520251,92.58180476979648,0.4018365615489646,0.002506151876805235
15500.0,92500.0,1435.0,-1310.0,2745.0,3.852478,92.62501540369239,0.4002379432549722,0.038781818977222424
16000.0,92500.0,1435.0,-1371.0,2806.0,3.8838954,92.66822603758828,0.39864555501808013,0.07505748607763962
16500.0,92500.0,1435.0,-1442.0,2877.0,3.5292408,92.71143667148417,0.3971989501173325,0.1113331531780568
17000.0,92500.0,1435.0,-1499.0,2934.0,3.299272,92.75464730538006,0.3957523452165849,0.14760882027847402
17500.0,92500.0,1435.0,-1531.0,2966.0,2.9516683,92.79785793927596,0.39430574031583737,0.18388448737889124
8000.0,92000.0,1429.0,-1300.0,2729.0,3.3627145,92.0641439326423,0.42421599331894166,-0.002138464601011947
8500.0,92000.0,1430.0,-1266.0,2696.0,4.4747214,92.11439512596904,0.42249333058712346,-0.0024674591550137848
9000.0,92000.0,1431.0,-1222.0,2653.0,5.1558433,92.16303208556151,0.42077066785530537,-0.0027964537090156226
9500.0,92000.0,1432.0,-1184.0,2616.0,4.714268,92.2063651343128,0.41904800512348717,-0.0031254482630174605
10000.0,92000.0,1432.0,-1159.0,2591.0,4.8460436,92.24969818306408,0.4173253423916691,-0.004025390987590072
10500.0,92000.0,1433.0,-1135.0,2568.0,5.0355887,92.29303123181538,0.4156026796598509,-0.005496281882733455
11000.0,92000.0,1433.0,-1123.0,2556.0,4.3319106,92.33636428056668,0.4138861709729584,-0.00696717277787684
11500.0,92000.0,1433.0,-1138.0,2571.0,3.341821,92.37969732931796,0.4122875523814656,-0.008438063673020222
12000.0,92000.0,1434.0,-1173.0,2607.0,2.8366601,92.42303037806926,0.41068893378997273,-0.00990895456816361
12500.0,92000.0,1434.0,-1226.0,2660.0,3.2949662,92.46636342682055,0.40909031519848005,-0.011379845463306991
13000.0,92000.0,1434.0,-1217.0,2651.0,4.05544,92.50969647557184,0.40749169660698714,-0.012850736358450379
13500.0,92000.0,1434.0,-1190.0,2624.0,4.398971,92.55302952432314,0.40589307801549446,-0.01432162725359376
14000.0,92000.0,1434.0,-1196.0,2630.0,4.5796866,92.59636257307443,0.40429445942400166,-0.015792518148737143
